programAk,tradeName,displayTradeName,promptTradeName,socCode,description
10280,"Housekeeper (Commercial, Residential, Industrial)",Housekeeper,"Housekeeper (Commercial, Residential, Industrial)",37-2012.00,"A Housekeeper cleans and maintains homes, offices, hotels, hospitals, factories, and other buildings. They vacuum floors, dust surfaces, scrub bathrooms, change linens, empty trash, restock supplies, and sometimes wash windows or sanitize work areas. Their work keeps indoor spaces clean, organized, healthier to use, and safer for the people in them."
10285,Data Analyst,Data Analyst,Data Analyst,15-2031.00,"A Data Analyst collects, checks, and studies data to find patterns and answer questions for a business or organization. They clean spreadsheets, build charts and dashboards, write reports, and explain what the numbers show so others can make decisions. Their work helps improve services, reduce mistakes, and keep daily operations running better."
10292,Operating Engineer (Grade and Paving Equipment),Operating Engineer,Operating Engineer (Grade and Paving Equipment),47-2073.00,"An Operating Engineer working with grading and paving equipment runs heavy machines that shape ground and lay road surfaces. They steer graders, rollers, pavers, and loaders, level soil and gravel, spread asphalt, and watch controls to keep the work even and smooth. Their work helps build and maintain roads, parking lots, and surfaces people use every day."
10301,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
10339,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
10353,"Bricklayer, Mason","Bricklayer, Mason","Bricklayer, Mason",47-2021.00,"A Bricklayer, Mason builds and repairs walls, chimneys, fireplaces, walkways, and other structures using brick, stone, and concrete block. They spread mortar, line up each course, cut materials to fit, and check that surfaces are level and straight. Their work helps create strong buildings and keeps homes, businesses, and outdoor spaces safe and durable."
10367,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
10372,Bricklayer Mason and Plasterer,Bricklayer Mason and Plasterer,Bricklayer Mason and Plasterer,47-2021.00,"A Bricklayer Mason and Plasterer builds and repairs walls, chimneys, fireplaces, and other structures using brick, block, stone, mortar, and plaster. They spread mortar, lay materials in straight lines, smooth plaster onto walls and ceilings, and patch damaged surfaces. Their work builds strong, finished surfaces that protect buildings and keep them safe and weather-resistant."
10386,Cement Finisher or Cement Mason,Cement Finisher or Cement Mason,Cement Finisher or Cement Mason,47-2051.00,"A Cement Finisher or Cement Mason works with wet concrete on sidewalks, floors, curbs, roads, and building foundations. They spread, level, smooth, edge, and texture the surface using hand and power tools, and may add joints or seal finishes as it sets. Their work helps concrete surfaces stay strong, even, safe to walk or drive on, and long-lasting."
10401,Safety and Health Inspector,Safety and Health Inspector,Safety and Health Inspector,19-5011.00,"A Safety and Health Inspector checks workplaces to make sure they follow safety laws and health rules. They walk through factories, offices, construction sites, or stores, inspect equipment, watch how jobs are done, take notes, and write reports on hazards and violations. Their work helps prevent injuries, illness, and unsafe conditions on the job."
10406,Machinist (CNC),Machinist,Machinist (CNC),51-4041.00,"A CNC Machinist makes precise metal or plastic parts using computer-controlled machines. They read blueprints, set up tools and materials, load programs, watch cuts closely, and measure finished pieces to make sure they match exact sizes. Their work helps build and repair machines, vehicles, and equipment that people use every day and keeps them running properly."
10413,Toolmaker,Toolmaker,Toolmaker,51-4111.00,"A Toolmaker makes, repairs, and adjusts the metal tools used to shape parts in factories, such as molds, dies, jigs, and gauges. They read drawings, measure with precision tools, cut and grind metal, and fit pieces together by hand or machine. Their work keeps production accurate, machines running, and finished products consistent."
10457,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
10522,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
10558,Plant Maintenance-Mechanic (4 Year),Plant Maintenance-Mechanic,Plant Maintenance-Mechanic (),49-9071.00,"A Plant Maintenance-Mechanic keeps factory and plant equipment working properly. They inspect machines, replace worn parts, lubricate moving equipment, line up belts and gears, troubleshoot breakdowns, and use hand and power tools to repair pumps, motors, conveyors, and other machinery. Their work keeps production running, reduces downtime, and helps equipment operate safely."
10606,Machinist (CNC),Machinist,Machinist (CNC),51-4041.00,"A CNC Machinist makes precise metal or plastic parts using computer-controlled machines. They read blueprints, set up tools and materials, load programs, watch cuts closely, and measure finished pieces to make sure they match exact sizes. Their work helps build and repair machines, vehicles, and equipment that people use every day and keeps them running properly."
10617,Plasterer,Plasterer,Plasterer,47-2161.00,"A Plasterer covers walls and ceilings with plaster, stucco, or other smooth finishes inside and outside buildings. They mix materials, spread and level coats with trowels, patch cracks, shape corners, and sometimes add textured or decorative surfaces. Their work creates clean, durable surfaces and helps protect buildings from wear, moisture, and damage."
10636,Plant Maintenance-Mechanic (4 Year),Plant Maintenance-Mechanic,Plant Maintenance-Mechanic (),49-9071.00,"A Plant Maintenance-Mechanic keeps factory and plant equipment working properly. They inspect machines, replace worn parts, lubricate moving equipment, line up belts and gears, troubleshoot breakdowns, and use hand and power tools to repair pumps, motors, conveyors, and other machinery. Their work keeps production running, reduces downtime, and helps equipment operate safely."
10647,Toolmaker,Toolmaker,Toolmaker,51-4111.00,"A Toolmaker makes, repairs, and adjusts the metal tools used to shape parts in factories, such as molds, dies, jigs, and gauges. They read drawings, measure with precision tools, cut and grind metal, and fit pieces together by hand or machine. Their work keeps production accurate, machines running, and finished products consistent."
10648,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
10670,Ornamental Iron Worker,Ornamental Iron Worker,Ornamental Iron Worker,47-4099.00,"An Ornamental Iron Worker makes and installs decorative metal parts for buildings, fences, gates, railings, stairs, and balconies. They cut, weld, bend, and bolt iron or steel pieces into place, often using shop drawings, hoists, and power tools. Their work adds strength, detail, and safe barriers to the places people use every day."
10688,Medical Assistant,Medical Assistant,Medical Assistant,31-9092.00,"A Medical Assistant supports doctors and nurses in clinics, offices, and other healthcare settings. They greet patients, take blood pressure and temperature, prepare exam rooms, update medical records, schedule appointments, and may collect samples or give basic instructions. Their work helps visits run smoothly, keeps records accurate, and makes patient care safer and more organized."
10701,"Bricklayer, Mason","Bricklayer, Mason","Bricklayer, Mason",47-2021.00,"A Bricklayer, Mason builds and repairs walls, chimneys, fireplaces, walkways, and other structures using brick, stone, and concrete block. They spread mortar, line up each course, cut materials to fit, and check that surfaces are level and straight. Their work helps create strong buildings and keeps homes, businesses, and outdoor spaces safe and durable."
10720,Plumber and Pipefitter,Plumber and Pipefitter,Plumber and Pipefitter,47-2152.00,"A Plumber and Pipefitter installs, repairs, and maintains pipes that carry water, gas, steam, and waste in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, test for leaks, and troubleshoot broken systems using hand and power tools. Their work keeps water flowing, heat working, and buildings safe and usable."
10744,Millwright,Millwright,Millwright,49-9044.00,"A Millwright installs, takes apart, repairs, and moves heavy industrial machines in places like factories, mills, and power plants. They use hoists, measuring tools, hand tools, and precision parts to line up equipment, replace worn pieces, and get machines running smoothly. Their work keeps production equipment working safely, accurately, and with less downtime."
10765,Cook,Cook,Cook,35-2012.00,"A Cook prepares and cooks meals in places like restaurants, cafeterias, hospitals, or care homes. They chop ingredients, follow recipes, grill or bake food, watch cooking times, plate meals, and keep the kitchen clean and safe. Their work keeps people fed with meals that are ready on time, tasty, and safe to eat."
10773,Ornamental Iron Worker,Ornamental Iron Worker,Ornamental Iron Worker,47-4099.00,"An Ornamental Iron Worker makes and installs decorative metal parts for buildings, fences, gates, railings, stairs, and balconies. They cut, weld, bend, and bolt iron or steel pieces into place, often using shop drawings, hoists, and power tools. Their work adds strength, detail, and safe barriers to the places people use every day."
10780,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
10836,Electrical (Outside) Line Worker,Electrical Line Worker,Electrical (Outside) Line Worker,49-9051.00,"An outside Electrical Line Worker builds, repairs, and maintains overhead and underground power lines and related equipment. They climb poles or work from bucket trucks, string wire, replace damaged lines, connect transformers, and restore service after storms and outages. Their work keeps electricity flowing to homes, schools, businesses, and streetlights safely and reliably."
10871,Plumber and Steamfitter,Plumber and Steamfitter,Plumber and Steamfitter,47-2152.00,"A Plumber and Steamfitter installs, repairs, and maintains water, drainage, gas, and steam piping systems in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, read blueprints, test for leaks, and work around boilers and pumps. Their work keeps water flowing, heat working, and buildings safe to use."
10876,Precision Imaging / Nanolithography Technician,Precision Imaging/Nanolithography Technician,Precision Imaging/Nanolithography Technician,51-2099.00,"A Precision Imaging/Nanolithography Technician works with highly detailed imaging and pattern-making equipment used to create tiny features on materials or electronic parts. They set up machines, prepare surfaces, align samples, run tests, inspect patterns under microscopes, and record results in clean work areas. Their work helps build and improve the small components inside modern devices."
10928,"Heating, Ventilation and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic","Heating, Ventilation, and Air Conditioning Mechanic",49-9021.00,"A Heating, Ventilation, and Air Conditioning Mechanic installs, repairs, and maintains furnaces, air conditioners, heat pumps, ventilation fans, and duct systems in homes and buildings. They connect pipes and wiring, test airflow and controls, replace worn parts, and troubleshoot breakdowns using hand and power tools. Their work keeps indoor spaces comfortable, efficient, and safe year-round."
10959,"Painter, Decorator & Paperhanger","Painter, Decorator, and Paperhanger","Painter, Decorator, and Paperhanger",47-2141.00,"A Painter, Decorator, and Paperhanger finishes and updates indoor and outdoor surfaces in homes, offices, and other buildings. They prepare walls and woodwork, scrape and sand old finishes, fill holes, apply paint or stain, and hang wallpaper neatly and straight. Their work protects surfaces from wear and moisture and makes rooms cleaner, brighter, and easier to maintain."
10975,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
11039,Operating Engineer (Universal Equipment),Operating Engineer,Operating Engineer (Universal Equipment),47-2073.00,"An Operating Engineer runs heavy equipment used to move earth and materials on construction and industrial sites. They sit in bulldozers, loaders, excavators, and similar machines to dig, grade, lift, trench, and clear ground, while checking controls and watching site conditions. Their work helps build roads, foundations, and utility systems and keeps projects moving safely."
11074,Plumber and Pipefitter,Plumber and Pipefitter,Plumber and Pipefitter,47-2152.00,"A Plumber and Pipefitter installs, repairs, and maintains pipes that carry water, gas, steam, and waste in homes, buildings, and industrial sites. They cut and join pipe, fit valves and fixtures, test for leaks, and troubleshoot broken systems using hand and power tools. Their work keeps water flowing, heat working, and buildings safe and usable."
11143,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
11166,Direct Support Professional (DSP) Supervisor,Direct Support Professional Supervisor,Direct Support Professional (DSP) Supervisor,39-1022.00,"A Direct Support Professional Supervisor leads staff who help people with disabilities or other support needs in homes, day programs, or community settings. They make schedules, train workers, check care plans, handle problems, and step in to help with daily routines, appointments, or activities. Their work keeps support services organized, safe, and running well."
11173,"Pointer, Caulker and Cleaner","Pointer, Caulker, and Cleaner","Pointer, Caulker, and Cleaner",47-4099.00,"A Pointer, Caulker, and Cleaner repairs and protects the outside of buildings, bridges, and chimneys. They scrape out damaged mortar, pack fresh mortar between bricks or stone, seal gaps with caulk, and wash or blast away dirt and stains, often while working from scaffolds. This keeps walls strong, dry, clean, and safer."
11234,"Truck Driver, Heavy","Truck Driver, Heavy","Truck Driver, Heavy",53-3032.00,"A Truck Driver, Heavy drives large trucks to move materials, equipment, or goods between job sites, warehouses, stores, and customers. They load and secure cargo, check brakes, tires, and lights, follow delivery routes, and keep records of trips and shipments. Their work keeps supplies moving, businesses running, and roads safer for everyone."
11242,Junior Accountant,Junior Accountant,Junior Accountant,43-3031.00,"A Junior Accountant helps a business keep accurate financial records and track its money. They enter transactions, check invoices and receipts, prepare reports, reconcile bank statements, and help with payroll, budgets, and tax paperwork, often using accounting software and spreadsheets. Their work helps companies pay bills on time, follow rules, and make sound financial decisions."
11244,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
11278,Visual and Graphic Arts Associate,Visual and Graphic Arts Associate,Visual and Graphic Arts Associate,27-1024.00,"A Visual and Graphic Arts Associate creates visual materials that communicate ideas, information, or a certain look. They sketch concepts, use design software, arrange images and text, prepare layouts, and sometimes help produce signs, packaging, ads, or digital graphics. Their work makes messages clearer, products more appealing, and printed or online materials easier to use."
11289,Tool and Die Maker,Tool and Die Maker,Tool and Die Maker,51-4111.00,"A Tool and Die Maker builds and repairs the metal tools, molds, and dies used to shape parts in factories. They read drawings, measure precisely, cut and grind metal, and fit pieces together using machines and hand tools. Their work keeps manufacturing equipment accurate, products consistent, and production lines running smoothly."
11304,"Painter, Decorator & Paperhanger","Painter, Decorator, and Paperhanger","Painter, Decorator, and Paperhanger",47-2141.00,"A Painter, Decorator, and Paperhanger finishes and updates indoor and outdoor surfaces in homes, offices, and other buildings. They prepare walls and woodwork, scrape and sand old finishes, fill holes, apply paint or stain, and hang wallpaper neatly and straight. Their work protects surfaces from wear and moisture and makes rooms cleaner, brighter, and easier to maintain."
11354,"Pointer, Caulker and Cleaner","Pointer, Caulker, and Cleaner","Pointer, Caulker, and Cleaner",47-4099.00,"A Pointer, Caulker, and Cleaner repairs and protects the outside of buildings, bridges, and chimneys. They scrape out damaged mortar, pack fresh mortar between bricks or stone, seal gaps with caulk, and wash or blast away dirt and stains, often while working from scaffolds. This keeps walls strong, dry, clean, and safer."
11366,"Mold Maker, Die-Casting and Plastic Molding","Mold Maker, Die-Casting, and Plastic Molding","Mold Maker, Die-Casting, and Plastic Molding",51-4111.00,"A Mold Maker, Die-Casting, and Plastic Molding builds, repairs, and adjusts the metal molds used to shape plastic parts and die-cast products. They read drawings, machine and polish mold pieces, fit parts together, and test for smooth opening, closing, and cooling. Their work helps factories make accurate parts and keeps production running safely."
11425,Painter and Decorator (Structural Steel-Bridges),Painter and Decorator,Painter and Decorator (Structural Steel-Bridges),47-2141.00,"A Painter and Decorator working on structural steel bridges cleans, sands, blasts, and coats steel beams, railings, and other bridge parts with protective paint systems. They set up equipment, prepare surfaces, and apply finishes that resist rust, weather, and wear, often high above the ground. Their work helps keep bridges strong, safe, and lasting longer."
11465,Maintenance Mechanic (Automatic Equipment),Maintenance Mechanic,Maintenance Mechanic (Automatic Equipment),49-9041.00,"A Maintenance Mechanic who works on automatic equipment installs, inspects, repairs, and adjusts machines that run by themselves in factories, plants, or large buildings. They replace worn parts, lubricate moving pieces, test controls, and troubleshoot breakdowns with tools and meters. Their work keeps equipment running safely, smoothly, and with less downtime."
11477,Metal Stamping Press Operator,Metal Stamping Press Operator,Metal Stamping Press Operator,51-4031.00,"A Metal Stamping Press Operator runs machines that press and cut metal into specific shapes for parts and products. They load metal sheets or coils, set dies, start and monitor the press, check measurements, and remove finished pieces while watching for jams or defects. Their work helps build accurate metal parts and keeps manufacturing lines running safely."
11538,Quality Assurance Auditor,Quality Assurance Auditor,Quality Assurance Auditor,19-4099.01,"A Quality Assurance Auditor checks whether a company’s products, services, or work processes meet set standards and rules. They review records, inspect work areas, watch how tasks are done, and write reports on problems they find. Their work helps catch mistakes, improve consistency, and keep products and services safe and reliable."
11562,Direct Support Professional (DSP) Supervisor,Direct Support Professional Supervisor,Direct Support Professional (DSP) Supervisor,39-1022.00,"A Direct Support Professional Supervisor leads staff who help people with disabilities or other support needs in homes, day programs, or community settings. They make schedules, train workers, check care plans, handle problems, and step in to help with daily routines, appointments, or activities. Their work keeps support services organized, safe, and running well."
11602,Machinist (CNC),Machinist,Machinist (CNC),51-4041.00,"A CNC Machinist makes precise metal or plastic parts using computer-controlled machines. They read blueprints, set up tools and materials, load programs, watch cuts closely, and measure finished pieces to make sure they match exact sizes. Their work helps build and repair machines, vehicles, and equipment that people use every day and keeps them running properly."
11605,Insulation and Asbestos Worker,Insulation and Asbestos Worker,Insulation and Asbestos Worker,47-2131.00,"An Insulation and Asbestos Worker installs and removes materials that cover pipes, ducts, boilers, walls, and ceilings. They measure, cut, fit, wrap, and fasten insulation, and in older buildings they seal off areas and safely remove asbestos-containing materials. Their work helps control heat and noise, save energy, and keep buildings safer for the people inside."
11623,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
11632,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
11634,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
11643,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
11650,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
11664,Electrical (Outside) Line Worker,Electrical Line Worker,Electrical (Outside) Line Worker,49-9051.00,"An outside Electrical Line Worker builds, repairs, and maintains overhead and underground power lines and related equipment. They climb poles or work from bucket trucks, string wire, replace damaged lines, connect transformers, and restore service after storms and outages. Their work keeps electricity flowing to homes, schools, businesses, and streetlights safely and reliably."
11682,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
11712,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
11716,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
11753,Dental Office Assistant,Dental Office Assistant,Dental Office Assistant,31-9091.00,"A Dental Office Assistant helps a dental clinic run smoothly by supporting both patients and staff. They greet people, book appointments, prepare treatment rooms, clean and set out instruments, update records, and handle billing or insurance forms. Their work keeps the office organized, visits moving on time, and patient care cleaner and safer."
11765,Direct Support Professional,Direct Support Professional,Direct Support Professional,21-1093.00,"A Direct Support Professional helps people with disabilities or other support needs with daily living at home, at work, and in the community. They may help with meals, bathing, medications, transportation, chores, and social activities, while encouraging independence and choice. Their work helps people stay safe, healthy, included, and able to live everyday life."
11769,Industrial Manufacturing Technician,Industrial Manufacturing Technician,Industrial Manufacturing Technician,17-3026.00,"An Industrial Manufacturing Technician sets up, runs, and monitors machines that make parts and products in factories. They load materials, check measurements, adjust equipment, replace worn tools, and inspect finished items for quality while keeping the work area clean and safe. Their work keeps production lines running, products consistent, and equipment working properly."
11790,Insulation and Asbestos Worker,Insulation and Asbestos Worker,Insulation and Asbestos Worker,47-2131.00,"An Insulation and Asbestos Worker installs and removes materials that cover pipes, ducts, boilers, walls, and ceilings. They measure, cut, fit, wrap, and fasten insulation, and in older buildings they seal off areas and safely remove asbestos-containing materials. Their work helps control heat and noise, save energy, and keep buildings safer for the people inside."
11795,Operating Engineer (Heavy Equipment),Operating Engineer,Operating Engineer (Heavy Equipment),47-2073.00,"An Operating Engineer works with heavy equipment on construction sites and other outdoor job sites. They drive, steer, and control bulldozers, excavators, loaders, graders, and rollers to dig, lift, move, level, and spread earth, rock, and materials. Their work helps build roads, foundations, and utility systems, and keeps projects moving safely."
11799,Machinist (CNC),Machinist,Machinist (CNC),51-4041.00,"A CNC Machinist makes precise metal or plastic parts using computer-controlled machines. They read blueprints, set up tools and materials, load programs, watch cuts closely, and measure finished pieces to make sure they match exact sizes. Their work helps build and repair machines, vehicles, and equipment that people use every day and keeps them running properly."
11834,Plant Maintenance-Plumber and Steamfitter,Plant Maintenance-Plumber and Steamfitter,Plant Maintenance-Plumber and Steamfitter,47-2152.00,"A Plant Maintenance-Plumber and Steamfitter installs, repairs, and maintains the pipes, valves, drains, boilers, and steam systems that keep an industrial plant working. They cut and fit pipe, fix leaks, service pumps, and test pressure and flow. Their work keeps water, heat, and production systems running safely and reliably."
11841,Project Manager,Project Manager,Project Manager,15-1299.09,"A Project Manager plans and leads a project from start to finish. They set schedules, track budgets, assign work, run meetings, solve problems, and keep workers, clients, and suppliers informed as the job moves forward. Their work helps teams stay organized, deadlines get met, and projects get built, delivered, or improved with fewer delays and mistakes."
11845,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
11867,Welder (Industrial),Welder,Welder (Industrial),51-4121.00,"An industrial Welder joins metal parts to build, repair, and maintain heavy equipment, machinery, pipes, and steel structures. They read drawings, measure and prepare metal, use welding torches and machines, and check that seams are strong and clean. Their work keeps factories, plants, and industrial equipment safe, solid, and running properly."
11875,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
11893,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
11909,Carpenter,Carpenter,Carpenter,47-2031.00,"A Carpenter builds, installs, and repairs wooden parts of buildings and other structures. They measure and cut lumber, frame walls, hang doors, fit cabinets, install floors, and use hand and power tools on homes, offices, and job sites. Their work helps create solid spaces that are safe, useful, and built to last."
11921,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
11931,Insulation and Asbestos Worker,Insulation and Asbestos Worker,Insulation and Asbestos Worker,47-2131.00,"An Insulation and Asbestos Worker installs and removes materials that cover pipes, ducts, boilers, walls, and ceilings. They measure, cut, fit, wrap, and fasten insulation, and in older buildings they seal off areas and safely remove asbestos-containing materials. Their work helps control heat and noise, save energy, and keep buildings safer for the people inside."
11942,Plant Maintenance-Mechanic (4 Year),Plant Maintenance-Mechanic,Plant Maintenance-Mechanic (),49-9071.00,"A Plant Maintenance-Mechanic keeps factory and plant equipment working properly. They inspect machines, replace worn parts, lubricate moving equipment, line up belts and gears, troubleshoot breakdowns, and use hand and power tools to repair pumps, motors, conveyors, and other machinery. Their work keeps production running, reduces downtime, and helps equipment operate safely."
11948,Iron Worker (Outside),Iron Worker,Iron Worker (Outside),47-2221.00,"An outside Iron Worker builds and repairs the steel skeletons of buildings, bridges, towers, and other large structures. They unload and position heavy beams, bolt and weld pieces together, install metal decking, and work high above the ground using cranes, lifts, and safety gear. Their work helps keep structures strong, stable, and safe to use."
11987,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
12018,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
12023,Operating Engineer (Universal Equipment),Operating Engineer,Operating Engineer (Universal Equipment),47-2073.00,"An Operating Engineer runs heavy equipment used to move earth and materials on construction and industrial sites. They sit in bulldozers, loaders, excavators, and similar machines to dig, grade, lift, trench, and clear ground, while checking controls and watching site conditions. Their work helps build roads, foundations, and utility systems and keeps projects moving safely."
12061,Roofer,Roofer,Roofer,47-2181.00,"A Roofer builds, repairs, and replaces roofs on homes, shops, and other buildings. They tear off old shingles, lay underlayment, fasten shingles, tiles, or metal panels, seal flashing around vents and chimneys, and work high up in changing weather. Their work keeps buildings dry, insulated, and protected from leaks and damage."
12070,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
12100,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,Skilled Construction Craft Laborer,47-2061.00,"A Skilled Construction Craft Laborer does hands-on work on building sites and supports many parts of a construction project. They load and move materials, dig and grade ground, use hand and power tools, help set forms, pour concrete, and clean work areas. Their work helps keep projects moving, sites safer, and structures built properly."
